player_name,salary_2526
Jarace Walker,6665406.0
Dean Wade,6623456.0
Jalen Williams,6580997.0
Rob Dillingham,6576120.0
Jalen Duren,6483144.0
Ochai Agbaji,6383525.0
C. Murray-Boyles,6332520.0
Mark Williams,6276531.0
Day'Ron Sharpe,6250000.0
Ziaire Williams,6250000.0
Saddiq Bey,6229755.0
John Konchar,6165000.0
Taylor Hendricks,6127080.0
Zach Edey,6045000.0
Khaman Maluach,6016080.0
Jaden Hardy,6000000.0
Jake LaRavia,6000000.0
Cam Thomas,5993172.0
Cason Wallace,5820487.0
Cody Williams,5742480.0
Cedric Coward,5715120.0
D'Angelo Russell,5685000.0
Al Horford,5685000.0
Tari Eason,5675766.0
H. Highsmith,5616000.0
Nicolas Batum,5601600.0
Jett Howard,5529506.0
G. Yabusele,5500000.0
Matas Buzelis,5455560.0
Noa Essengue,5429520.0
Dario Saric,5426400.0
Kris Dunn,5426400.0
Dalen Terry,5399118.0
Paul Reed,5335894.0
Dereck Lively,5253191.0
Nikola Topic,5182920.0
Derik Queen,5157960.0
Kevin Porter,5134000.0
Nick Richards,5000000.0
Moritz Wagner,5000000.0
Andre Drummond,5000000.0
Gradey Dick,4990379.0
Malaki Branham,4962033.0
Devin Carter,4923720.0
Christian Braun,4921797.0
Carter Bryant,4900320.0
Walker Kessler,4878938.0
Jordan Hawkins,4741216.0
C. Carrington,4677600.0
Thomas Sorber,4655040.0
Kobe Bufkin,4503668.0
Jose Alvarado,4500000.0
Nikola Jovic,4445417.0
Kel'el Ware,4443360.0
Hansen Yang,4422360.0
Peyton Watson,4356476.0
Miles McBride,4333333.0
Keyonte George,4278754.0
Jared McCain,4221360.0
Joan Beringer,4201080.0
Daniss Jenkins,4169843.0
Kevin Love,4150000.0
Dalton Knecht,4010160.0
Ryan Rollins,4000000.0
Dwight Powell,4000000.0
W. Clayton,3991320.0
Jaime Jaquez,3861600.0
Nolan Traore,3811560.0
Tristan da Silva,3809520.0
Dominick Barlow,3765668.0
Cole Anthony,3700000.0
Taurean Prince,3697105.0
Gary Trent Jr,3697105.0
B. Podziemski,3687960.0
S. Mykhailiuk,3675000.0
K. Jakucionis,3658800.0
Ja'Kobe Walter,3638160.0
Eric Gordon,3634153.0
Mason Plumlee,3634153.0
Chris Paul,3634153.0
R. Westbrook,3634153.0
Bismack Biyombo,3634153.0
Doug McDermott,3634153.0
Kyle Lowry,3634153.0
S. Dinwiddie,3634153.0
Tim Hardaway Jr,3634153.0
Gary Harris,3634153.0
Larry Nance Jr,3634153.0
Garrett Temple,3634153.0
Joe Ingles,3634153.0
Jeff Green,3634153.0
DeAndre Jordan,3571495.0
Cameron Whitmore,3539976.0
Will Riley,3512520.0
Jaylon Tyson,3492480.0
Jaxson Hayes,3449323.0
Noah Clowney,3398406.0
Drake Powell,3372240.0
Yves Missi,3353040.0
Blake Wesley,3347458.0
Dante Exum,3303774.0
Gary Payton II,3303774.0
Chris Boucher,3287409.0
Thomas Bryant,3287409.0
Dariq Whitehead,3262560.0
Tristan Vukcevic,3256068.0
Asa Newell,3237480.0
DaRon Holmes,3218760.0
Kris Murray,3132000.0
Nique Clifford,3108120.0
Nassir Little,3107143.0
AJ Johnson,3090480.0
Marvin Bagley,3080921.0
D. Melton,3080921.0
Landry Shamet,3080921.0
Josh Okogie,3080921.0
Drew Eubanks,3080921.0
Bruce Brown,3080921.0
Aaron Holiday,3080921.0
Ajay Mitchell,3000000.0
Kyle Filipowski,3000000.0
J. Champagnie,3000000.0
Jase Richardson,2983320.0
Kyshawn George,2966760.0
Marcus Sasser,2886431.0
Ben Saraf,2884560.0
Amir Coffey,2874436.0
T. Antetokounmpo,2874436.0
Javonte Green,2874436.0
J. McLaughlin,2874436.0
Pacome Dadiet,2847600.0
Danny Wolf,2801280.0
Ben Sheppard,2790720.0
Hugo Gonzalez,2783880.0
Seth Curry,2777830.0
Liam McNeeley,2763960.0
Dillon Jones,2753280.0
Y. Niederhauser,2743800.0
Nick Smith,2710680.0
Brice Sensabaugh,2693460.0
Julian Strawther,2674148.0
T. Shannon,2674080.0
Anthony Gill,2667947.0
Jae'Sean Tate,2667947.0
Ryan Dunn,2657760.0
Kobe Brown,2654692.0
Isaiah Collier,2638200.0
B. Scheierman,2619000.0
Xavier Tillman,2546675.0
Cam Spencer,2537989.0
Jock Landale,2461463.0
Bones Hyland,2461463.0
Lindy Waters III,2461463.0
S. Mamukelashvili,2461463.0
Jericho Sims,2461463.0
Trendon Watford,2461463.0
Luka Garza,2461463.0
Precious Achiuwa,2453285.0
Josh Minott,2378870.0
Dru Smith,2378870.0
Collin Gillespie,2378870.0
Vit Krejci,2349578.0
Jordan Goodwin,2349578.0
Jay Huff,2349578.0
Neemias Queta,2349578.0
V. Williams,2301587.0
Keon Ellis,2301587.0
AJ Green,2301587.0
Chris Livingston,2296274.0
Sion James,2296274.0
Ryan Kalkbrenner,2296274.0
Moussa Diabate,2270735.0
Brandon Williams,2270735.0
Scotty Pippen Jr,2270735.0
Hunter Tyson,2221677.0
T. Jackson-Davis,2221677.0
Leonard Miller,2221677.0
Julian Phillips,2221677.0
Duop Reath,2221677.0
Gui Santos,2221677.0
Toumani Camara,2221677.0
GG Jackson,2221677.0
Jalen Pickett,2221677.0
Jordan Walsh,2221677.0
Andre Jackson Jr,2221677.0
Craig Porter,2221677.0
Rayan Rupert,2221677.0
Jalen Wilson,2221677.0
Mouhamed Gueye,2221677.0
JaVale McGee,2208856.0
Tyrese Martin,2191897.0
Tyler Kolek,2191897.0
Jaylen Clark,2191897.0
Isaac Jones,2158057.0
Nigel Hayes,2048494.0
N'Faly Dante,2048494.0
Keaton Wallace,2048494.0
Justin Edwards,2048494.0
Quinten Post,1955377.0
Jamison Battle,1955377.0
Bobi Klintman,1955377.0
Karlo Matkovic,1955377.0
Adem Bona,1955377.0
Ariel Hukporti,1955377.0
Johnny Furphy,1955377.0
Tyler Smith,1955377.0
Cam Christie,1955377.0
Jaylen Wells,1955377.0
Jonathan Mogbo,1955377.0
Oso Ighodaro,1955377.0
Jamal Shead,1955377.0
Bronny James,1955377.0
Pelle Larsson,1955377.0
Keshad Johnson,1955377.0
Tony Bradley,1689353.0
Jamir Watkins,1546981.0
Micah Potter,1527805.0
Chaz Lanier,1372870.0
Mohamed Diawara,1272870.0
Will Richard,1272870.0
Nikola Djurisic,1272870.0
Kam Jones,1272870.0
Adou Thiero,1272870.0
Rasheer Fleming,1272870.0
Micah Peavy,1272870.0
Noah Penda,1272870.0
Maxime Raynaud,1272870.0
Johni Broome,1272870.0
Tyrese Proctor,1272870.0
Dylan Cardwell,1218461.0
Pat Spencer,1211689.0
Cameron Payne,1127841.0
Caleb Houstan,1117089.0
Jabari Walker,1117089.0
Bryce McGowens,1106635.0
Jordan Miller,1101910.0
Pete Nance,1095439.0
Nae'qwan Tomlin,1084904.0
Sidy Cissoko,1081951.0
Quenton Jackson,1022998.0
Spencer Jones,1016457.0
O. Prosper,1002360.0
James Wiseman,1000000.0
Taj Gibson,960753.0
Jamaree Bouyea,878375.0
Amari Williams,837589.0
Kobe Sanders,829383.0
Jamal Cain,813908.0
Myron Gardner,784302.0
Killian Hayes,751318.0
Ryan Nembhard,743320.0
EJ Liddell,706898.0
Max Shulga,681847.0
Vasilije Micic,666667.0
AJ Lawson,660121.0
Ron Harper Jr,657090.0
Jahmir Young,656323.0
Javonte Cooke,636435.0
Chris Youngblood,636435.0
Johnny Juzang,636435.0
Orlando Robinson,636435.0
Miles Kelly,636435.0
Luke Travers,636435.0
Tamar Bates,636435.0
Emanuel Miller,636434.0
KJ Simpson,636434.0
JD Davison,625726.0
J. Robinson-Earl,608292.0
Mamadi Diakite,464050.0
Garrison Mathews,462553.0
Ricky Rubio,424672.0
Stanley Umude,363537.0
Mo Bamba,354128.0
Tolu Smith,336782.0
Monte Morris,321184.0
Eli Ndiaye,318218.0
Omer Yurtseven,282926.0
Charles Bassey,282926.0
Didi Louzada,268032.0
DeJon Jarreau,263940.0
Tosan Evbuomwan,254154.0
Mark Sears,254154.0
Trentyn Flowers,250937.0
Richaun Holmes,250000.0
Kennedy Chandler,235460.0
Patrick Baldwin,222017.0
Bez Mbeng,219459.0
Buddy Boeheim,212331.0
Malachi Smith,212144.0
Drew Peterson,209114.0
Hunter Sallis,209114.0
Markelle Fultz,188932.0
Jacob Toppin,180160.0
Dalano Banton,169756.0
Darius Brown,167291.0
Norchad Omier,167291.0
DaQuan Jeffries,165197.0
Cody Martin,165197.0
Alex Toohey,157640.0
Skal Labissiere,153330.0
Tyler Burton,146306.0
Jahmyl Telfort,144771.0
Alondes Williams,136717.0
Jackson Rowe,135120.0
Tre Scott,129503.0
Adama-Alpha Bal,117045.0
Maxwell Lewis,100000.0
Lucas Williamson,95099.0
Steven Crowl,85300.0
Yuri Collins,85300.0
David Muoka,85300.0
RJ Luis Jr,85300.0
Colby Jones,85300.0
Lester Quinones,85300.0
Seth Lundy,85300.0
Jaylen Martin,85300.0
Toby Okani,73153.0
Andersson Garcia,73153.0
Grant Nelson,73153.0
Kadary Richmond,73153.0
Lawson Lovering,73153.0
Gabe McGlothan,73153.0
Jaden Springer,70732.0
Tyreke Key,51207.0
Mouhamadou Gueye,47092.0
Malik Williams,43870.0
Kyle Mangas,26322.0
Hayden Gray,14631.0
